checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.23979855533227007,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5688624835415158,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tens,BpowD,B^D,-0.08365827694601094,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tens,NdivBpowD,N / B^D,-0.22301869469003224,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tens,floorNdivBpowD,floor(N / B^D),-0.22175499635902263,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.4953111228109595,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_ones,BpowD,B^D,-0.12230915378997213,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_ones,NdivBpowD,N / B^D,-0.21899239879320787,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_ones,floorNdivBpowD,floor(N / B^D),-0.2180986613611306,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.42516411283476624,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tag,BpowD,B^D,-0.14188378468986623,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tag,NdivBpowD,N / B^D,-0.2855167462454343,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tag,floorNdivBpowD,floor(N / B^D),-0.2842707131198077,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5514050877854618,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tens,BpowD,B^D,-0.1693725877446889,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,2,1,B_tens,NdivBpowD,N / B^D,-0.19250812921484145,3848,5
