source_checkpoint,seed,num_layers,model_condition,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tens,floorNdivBpowD,floor(N / B^D),-0.2805669758420474,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6048698575100669,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_ones,BpowD,B^D,-0.12207413277645532,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_ones,NdivBpowD,N / B^D,-0.22546569260723062,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_ones,floorNdivBpowD,floor(N / B^D),-0.22456172513601821,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,N_ones,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.43741177581816526,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,B_tag,BpowD,B^D,-0.12230915379701006,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,B_tag,NdivBpowD,N / B^D,-0.21899239870519865,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,B_tag,floorNdivBpowD,floor(N / B^D),-0.21809866127314942,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,B_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.425164112901927,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,B_tens,BpowD,B^D,-0.14004509809681714,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,3,2,B_tens,NdivBpowD,N / B^D,-0.1857697192159109,3848,5
