seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
0,BpowD,B^D,7,6,B_ones,-0.0675098469100556,-0.0866144995983936,0.019104652688337997,1.0866144995983935,0.017581812772974194,0.017581812772974194
42,BpowD,B^D,7,6,B_ones,-0.055517064684762495,-0.04326919760741044,-0.012247867077352058,1.0432691976074104,-0.01173989139662208,0.0
1337,BpowD,B^D,7,6,B_ones,-0.05711248982381183,-0.06879984390985361,0.011687354086041782,1.0687998439098536,0.01093502600382821,0.01093502600382821
0,BpowD,B^D,8,7,B_ones,-0.07252845743204095,-0.0905537877656192,0.018025330333578254,1.0905537877656193,0.01652860274825091,0.01652860274825091
42,BpowD,B^D,8,7,B_ones,-0.05043107954303165,-0.04021343525049008,-0.010217644292541572,1.0402134352504901,-0.00982264211005994,0.0
1337,BpowD,B^D,8,7,B_ones,-0.05916282328334303,-0.06906179113008375,0.009898967846740714,1.0690617911300837,0.009259490825386915,0.009259490825386915
0,BpowD,B^D,9,8,B_ones,-0.06947258861331966,-0.09008639563872704,0.020613807025407382,1.090086395638727,0.018910250699284155,0.018910250699284155
42,BpowD,B^D,9,8,B_ones,-0.049706350150554315,-0.0416782264862726,-0.008028123664281718,1.0416782264862725,-0.007706913190805294,0.0
1337,BpowD,B^D,9,8,B_ones,-0.061068775335036164,-0.07355275620808817,0.012483980873052004,1.0735527562080882,0.011628660818818873,0.011628660818818873
0,BpowD,B^D,10,9,B_ones,-0.07164114149738984,-0.08810342788458088,0.016462286387191036,1.088103427884581,0.015129339698153447,0.015129339698153447
42,BpowD,B^D,10,9,B_ones,-0.0446289336122699,-0.038369881948558796,-0.0062590516637111016,1.0383698819485587,-0.006027766957151765,0.0
1337,BpowD,B^D,10,9,B_ones,-0.06291823423648032,-0.06770451238312769,0.004786278146647366,1.0677045123831277,0.004482774111316944,0.004482774111316944
0,BpowD,B^D,0,input,B_tag,-0.09826354696490336,-0.09826354696490336,0.0,1.0982635469649034,0.0,0.0
42,BpowD,B^D,0,input,B_tag,-0.08783133771992055,-0.08783133771992055,0.0,1.0878313377199205,0.0,0.0
1337,BpowD,B^D,0,input,B_tag,-0.13046239733120935,-0.13046239733120935,0.0,1.1304623973312093,0.0,0.0
0,BpowD,B^D,1,0,B_tag,-0.09721712322202195,-0.1602129890798189,0.06299586585779696,1.160212989079819,0.05429681140508507,0.05429681140508507
